i,j,text_a,text_b,type_a,type_b,created_a,created_b,similarity,action
10,259,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-05-06,1.0,DUPLICATE
10,296,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-02-11,1.0,DUPLICATE
10,310,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-03-28,1.0,DUPLICATE
10,339,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-03-04,1.0,DUPLICATE
10,344,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-05-13,1.0,DUPLICATE
10,354,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-04-05,1.0,DUPLICATE
10,355,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-05-01,1.0,DUPLICATE
10,361,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-04-04,1.0,DUPLICATE
10,376,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-06-06,1.0,DUPLICATE
10,411,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-04-25,1.0,DUPLICATE
10,452,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-02-03,2026-02-15,1.0,DUPLICATE
11,58,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-03-09,1.0,DUPLICATE
11,101,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-02-28,1.0,DUPLICATE
11,135,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-02-05,1.0,DUPLICATE
11,144,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-05-03,1.0,DUPLICATE
11,151,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-07-20,1.0,DUPLICATE
11,175,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-06-03,1.0,DUPLICATE
11,204,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-04-05,1.0,DUPLICATE
11,246,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-04-03,1.0,DUPLICATE
11,253,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-03-13,1.0,DUPLICATE
11,438,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-06-12,1.0,DUPLICATE
11,444,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-06-14,1.0,DUPLICATE
11,477,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-07-12,2026-04-21,1.0,DUPLICATE
12,17,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-03,1.0,DUPLICATE
12,29,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-11,1.0,DUPLICATE
12,38,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-02-07,1.0,DUPLICATE
12,49,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-05-29,1.0,DUPLICATE
12,61,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-02-10,1.0,DUPLICATE
12,76,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-01,1.0,DUPLICATE
12,85,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-08,1.0,DUPLICATE
12,131,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-02-01,1.0,DUPLICATE
12,208,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-08,1.0,DUPLICATE
12,211,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-03-30,1.0,DUPLICATE
12,234,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-06,1.0,DUPLICATE
12,237,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-02-22,1.0,DUPLICATE
12,277,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-05-15,1.0,DUPLICATE
12,286,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-03,1.0,DUPLICATE
12,322,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-07-01,1.0,DUPLICATE
12,367,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-03-26,1.0,DUPLICATE
12,391,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-03-28,1.0,DUPLICATE
12,413,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-06-13,1.0,DUPLICATE
12,432,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-07-05,1.0,DUPLICATE
12,436,Renew driving license this month,Renew driving license this month,task,task,2026-05-22,2026-04-12,1.0,DUPLICATE
13,20,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-07-14,0.625,RELATED
13,22,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-06-04,1.0,DUPLICATE
13,44,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-05-25,1.0,DUPLICATE
13,66,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-07-16,1.0,DUPLICATE
13,130,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-07-05,0.625,RELATED
13,140,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-02-16,0.625,RELATED
13,150,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-02-28,1.0,DUPLICATE
13,176,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-03-16,1.0,DUPLICATE
13,251,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-03-23,1.0,DUPLICATE
13,266,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-05-09,1.0,DUPLICATE
13,298,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-03-14,1.0,DUPLICATE
13,303,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-05-12,0.625,RELATED
13,306,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-05-28,1.0,DUPLICATE
13,308,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-05-05,0.625,RELATED
13,314,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-04-25,0.625,RELATED
13,327,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-05-20,1.0,DUPLICATE
13,332,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-05-06,1.0,DUPLICATE
13,343,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-05-05,1.0,DUPLICATE
13,350,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-03-14,1.0,DUPLICATE
13,433,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-04-18,1.0,DUPLICATE
13,464,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-06-07,1.0,DUPLICATE
13,483,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-06-24,1.0,DUPLICATE
13,494,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-06-20,0.625,RELATED
13,495,User had a job interview last week,User had a job interview last week,event,event,2026-03-01,2026-02-09,1.0,DUPLICATE
13,514,User had a job interview last week,User is preparing for interviews,event,goal,2026-03-01,2026-04-21,0.625,RELATED
13,515,User had a job interview last week,User got a new job after interviews,event,fact,2026-03-01,2026-05-24,0.776,RELATED
14,15,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-04-21,1.0,DUPLICATE
14,30,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-07-16,1.0,DUPLICATE
14,149,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-07-04,1.0,DUPLICATE
14,161,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-03-25,1.0,DUPLICATE
14,165,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-05-09,1.0,DUPLICATE
14,166,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-07-05,1.0,DUPLICATE
14,329,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-05-13,1.0,DUPLICATE
14,341,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-04-27,1.0,DUPLICATE
14,426,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-07-16,2026-03-13,1.0,DUPLICATE
15,30,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-07-16,1.0,DUPLICATE
15,149,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-07-04,1.0,DUPLICATE
15,161,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-03-25,1.0,DUPLICATE
15,165,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-05-09,1.0,DUPLICATE
15,166,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-07-05,1.0,DUPLICATE
15,329,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-05-13,1.0,DUPLICATE
15,341,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-04-27,1.0,DUPLICATE
15,426,Submit assignment by Monday,Submit assignment by Monday,task,task,2026-04-21,2026-03-13,1.0,DUPLICATE
16,27,User's mother tongue is Marathi,User's mother tongue is Marathi,fact,fact,2026-06-29,2026-04-09,1.0,DUPLICATE
16,174,User's mother tongue is Marathi,User's mother tongue is Marathi,fact,fact,2026-06-29,2026-07-08,1.0,DUPLICATE
16,290,User's mother tongue is Marathi,User's mother tongue is Marathi,fact,fact,2026-06-29,2026-06-06,1.0,DUPLICATE
16,466,User's mother tongue is Marathi,User's mother tongue is Marathi,fact,fact,2026-06-29,2026-03-11,1.0,DUPLICATE
17,29,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-04-11,1.0,DUPLICATE
17,38,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-02-07,1.0,DUPLICATE
17,49,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-05-29,1.0,DUPLICATE
17,61,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-02-10,1.0,DUPLICATE
17,76,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-04-01,1.0,DUPLICATE
17,85,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-04-08,1.0,DUPLICATE
17,131,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-02-01,1.0,DUPLICATE
17,208,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-04-08,1.0,DUPLICATE
17,211,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-03-30,1.0,DUPLICATE
17,234,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-04-06,1.0,DUPLICATE
17,237,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-02-22,1.0,DUPLICATE
17,277,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-05-15,1.0,DUPLICATE
17,286,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-04-03,1.0,DUPLICATE
17,322,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-07-01,1.0,DUPLICATE
17,367,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-03-26,1.0,DUPLICATE
17,391,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-03-28,1.0,DUPLICATE
17,413,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-06-13,1.0,DUPLICATE
17,432,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-07-05,1.0,DUPLICATE
17,436,Renew driving license this month,Renew driving license this month,task,task,2026-04-03,2026-04-12,1.0,DUPLICATE
18,51,User's hometown is Pune,User's hometown is Pune,fact,fact,2026-02-18,2026-03-30,1.0,DUPLICATE
18,62,User's hometown is Pune,User's hometown is Pune,fact,fact,2026-02-18,2026-05-29,1.0,DUPLICATE
18,153,User's hometown is Pune,User's hometown is Pune,fact,fact,2026-02-18,2026-04-03,1.0,DUPLICATE
18,348,User's hometown is Pune,User's hometown is Pune,fact,fact,2026-02-18,2026-04-15,1.0,DUPLICATE
18,382,User's hometown is Pune,User's hometown is Pune,fact,fact,2026-02-18,2026-07-05,1.0,DUPLICATE
18,447,User's hometown is Pune,User's hometown is Pune,fact,fact,2026-02-18,2026-03-16,1.0,DUPLICATE
19,34,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-05-09,1.0,DUPLICATE
19,46,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-06-30,1.0,DUPLICATE
19,78,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-04-30,1.0,DUPLICATE
19,156,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-05-19,1.0,DUPLICATE
19,199,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-02-13,1.0,DUPLICATE
19,230,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-02-24,1.0,DUPLICATE
19,347,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-04-01,1.0,DUPLICATE
19,448,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-02-25,2026-05-03,1.0,DUPLICATE
20,22,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-06-04,0.625,RELATED
20,44,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-05-25,0.625,RELATED
20,66,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-07-16,0.625,RELATED
20,130,User is preparing for interviews,User is preparing for interviews,goal,goal,2026-07-14,2026-07-05,1.0,DUPLICATE
20,140,User is preparing for interviews,User is preparing for interviews,goal,goal,2026-07-14,2026-02-16,1.0,DUPLICATE
20,150,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-02-28,0.625,RELATED
20,176,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-03-16,0.625,RELATED
20,251,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-03-23,0.625,RELATED
20,266,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-05-09,0.625,RELATED
20,298,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-03-14,0.625,RELATED
20,303,User is preparing for interviews,User is preparing for interviews,goal,goal,2026-07-14,2026-05-12,1.0,DUPLICATE
20,306,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-05-28,0.625,RELATED
20,308,User is preparing for interviews,User is preparing for interviews,goal,goal,2026-07-14,2026-05-05,1.0,DUPLICATE
20,314,User is preparing for interviews,User is preparing for interviews,goal,goal,2026-07-14,2026-04-25,1.0,DUPLICATE
20,327,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-05-20,0.625,RELATED
20,332,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-05-06,0.625,RELATED
20,343,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-05-05,0.625,RELATED
20,350,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-03-14,0.625,RELATED
20,433,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-04-18,0.625,RELATED
20,464,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-06-07,0.625,RELATED
20,483,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-06-24,0.625,RELATED
20,494,User is preparing for interviews,User is preparing for interviews,goal,goal,2026-07-14,2026-06-20,1.0,DUPLICATE
20,495,User is preparing for interviews,User had a job interview last week,goal,event,2026-07-14,2026-02-09,0.625,RELATED
